75.9136 	EXP 	fixation: autoDraw = False
75.9136 	EXP 	grating: autoDraw = False
75.9136 	EXP 	grating: ori = 0.0
75.9136 	EXP 	fixation: autoDraw = True
76.8966 	EXP 	grating: autoDraw = True
76.9100 	EXP 	fixation: autoDraw = False
77.2096 	EXP 	grating: autoDraw = False
77.7304 	EXP 	New trial (rep=47, index=0): None
77.7322 	DATA 	Keypress: up
77.7456 	EXP 	fixation: autoDraw = False
77.7456 	EXP 	grating: autoDraw = False
77.7456 	EXP 	grating: ori = -1.0
77.7456 	EXP 	fixation: autoDraw = True
78.7452 	EXP 	grating: autoDraw = True
78.7593 	EXP 	fixation: autoDraw = False
79.0579 	EXP 	grating: autoDraw = False
79.2614 	EXP 	New trial (rep=48, index=0): None
79.2629 	DATA 	Keypress: up
79.2773 	EXP 	fixation: autoDraw = False
79.2773 	EXP 	grating: autoDraw = False
79.2773 	EXP 	grating: ori = 3.0
79.2773 	EXP 	fixation: autoDraw = True
80.2619 	EXP 	grating: autoDraw = True
80.2737 	EXP 	fixation: autoDraw = False
80.5734 	EXP 	grating: autoDraw = False
80.8669 	EXP 	New trial (rep=49, index=0): None
80.8684 	DATA 	Keypress: down
80.8766 	EXP 	fixation: autoDraw = False
80.8766 	EXP 	grating: autoDraw = False
80.8766 	EXP 	grating: ori = 0.0
80.8766 	EXP 	fixation: autoDraw = True
81.8754 	EXP 	grating: autoDraw = True
81.8890 	EXP 	fixation: autoDraw = False
82.1887 	EXP 	grating: autoDraw = False
82.3746 	EXP 	New trial (rep=50, index=0): None
82.3759 	DATA 	Keypress: up
82.3913 	EXP 	fixation: autoDraw = False
82.3913 	EXP 	grating: autoDraw = False
82.3913 	EXP 	grating: ori = -2.0
82.3913 	EXP 	fixation: autoDraw = True
83.3743 	EXP 	grating: autoDraw = True
83.3882 	EXP 	fixation: autoDraw = False
83.6879 	EXP 	grating: autoDraw = False
84.0585 	EXP 	New trial (rep=51, index=0): None
84.0607 	DATA 	Keypress: down
84.0738 	EXP 	fixation: autoDraw = False
84.0738 	EXP 	grating: autoDraw = False
84.0738 	EXP 	grating: ori = 0.0
84.0738 	EXP 	fixation: autoDraw = True
85.0729 	EXP 	grating: autoDraw = True
85.0868 	EXP 	fixation: autoDraw = False
85.3865 	EXP 	grating: autoDraw = False
85.6765 	EXP 	New trial (rep=52, index=0): None
85.6796 	DATA 	Keypress: up
85.6892 	EXP 	fixation: autoDraw = False
85.6892 	EXP 	grating: autoDraw = False
85.6892 	EXP 	grating: ori = 0.0
85.6892 	EXP 	fixation: autoDraw = True
86.6852 	EXP 	fixation: autoDraw = False
86.6852 	EXP 	grating: autoDraw = True
86.9850 	EXP 	grating: autoDraw = False
87.2879 	EXP 	New trial (rep=53, index=0): None
87.2893 	DATA 	Keypress: up
87.3043 	EXP 	fixation: autoDraw = False
87.3043 	EXP 	grating: autoDraw = False
87.3043 	EXP 	grating: ori = 0.0
87.3043 	EXP 	fixation: autoDraw = True
88.2868 	EXP 	grating: autoDraw = True
88.3005 	EXP 	fixation: autoDraw = False
88.6001 	EXP 	grating: autoDraw = False
89.0561 	EXP 	New trial (rep=54, index=0): None
89.0576 	DATA 	Keypress: up
89.0694 	EXP 	fixation: autoDraw = False
89.0694 	EXP 	grating: autoDraw = False
89.0694 	EXP 	grating: ori = 0.0
89.0694 	EXP 	fixation: autoDraw = True
90.0686 	EXP 	grating: autoDraw = True
90.0818 	EXP 	fixation: autoDraw = False
90.3815 	EXP 	grating: autoDraw = False
90.6847 	EXP 	New trial (rep=55, index=0): None
90.6860 	DATA 	Keypress: up
90.7003 	EXP 	fixation: autoDraw = False
90.7003 	EXP 	grating: autoDraw = False
90.7003 	EXP 	grating: ori = 2.0
90.7003 	EXP 	fixation: autoDraw = True
91.6840 	EXP 	grating: autoDraw = True
91.6971 	EXP 	fixation: autoDraw = False
91.9968 	EXP 	grating: autoDraw = False
92.2697 	EXP 	New trial (rep=56, index=0): None
92.2718 	DATA 	Keypress: down
92.2830 	EXP 	fixation: autoDraw = False
92.2830 	EXP 	grating: autoDraw = False
92.2830 	EXP 	grating: ori = 0.0
92.2830 	EXP 	fixation: autoDraw = True
93.2796 	EXP 	fixation: autoDraw = False
93.2796 	EXP 	grating: autoDraw = True
